area_type,location,size,society,sqrft,bathroom,facing,price_fin
Builtup,3 BHK Apartment  In Lodha Venezia For Sale  In Parel,3 BHK,3 BHK Apartment  In Lodha Venezia For Sale  In Parel,1900 sqft,3,East,5.5 Crores
Builtup,3 BHK Flat  In Royal Residency For Sale  In Parel,3 BHK,3 BHK Flat  In Royal Residency For Sale  In Parel,1545 sqft,3,East,5.85 Crores
Builtup,3 BHK Flat  In Oriental Arcade  For Sale  In Chinchpokli,3 BHK,3 BHK Flat  In Oriental Arcade  For Sale  In Chinchpokli,1108 sqft,2,Don''t Know,3 Crores
Builtup,1 BHK Flat  In Westen Heights Society For Sale  In Parel,1 BHK,1 BHK Flat  In Westen Heights Society For Sale  In Parel,400 sqft,1,Don''t Know,75 Lacs
Builtup,1 BHK Flat  In Apartment For Sale  In Parel,1 BHK,1 BHK Flat  In Apartment For Sale  In Parel,400 sqft,1,Don''t Know,1.2 Crores
Builtup,1 BHK Flat  In Nitya Sukhdham Chs For Sale  In Parel,1 BHK,1 BHK Flat  In Nitya Sukhdham Chs For Sale  In Parel,590 sqft,2,East,1.99 Crores
Builtup,1 BHK Apartment  In Poonam Park Chs For Sale  In Lal Baug,1 BHK,1 BHK Apartment  In Poonam Park Chs For Sale  In Lal Baug,600 sqft,2,North,2.4 Crores
Builtup,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,1 BHK,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,700 sqft,1,North-East,2 Crores
Builtup,1 BHK Flat  In Lalbaug Cha Raja Co-operative Housing Society For Sale  In Parel,1 BHK,1 BHK Flat  In Lalbaug Cha Raja Co-operative Housing Society For Sale  In Parel,325 sqft,1,East,1.1 Crores
Builtup,"1 BHK Flat  In Sukhakarta Chs  For Sale  In Lal Baug, Parel",1 BHK,"1 BHK Flat  In Sukhakarta Chs  For Sale  In Lal Baug, Parel",425 sqft,1,East,1.19 Crores
Builtup,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,1 BHK,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,500 sqft,1,Don''t Know,2 Crores
Builtup,2 BHK Flat  In Royal Residency For Sale  In Parel,2 BHK,2 BHK Flat  In Royal Residency For Sale  In Parel,1125 sqft,2,South,5.25 Crores
Builtup,2 BHK Flat  In Royal Residency  For Sale  In Lalbaug,2 BHK,2 BHK Flat  In Royal Residency  For Sale  In Lalbaug,1125 sqft,2,North,4.6 Crores
Builtup,"2 BHK Flat  In K Raj Residency For Sale  In Lal Baug, Parel",2 BHK,"2 BHK Flat  In K Raj Residency For Sale  In Lal Baug, Parel",895 sqft,2,North,2.9 Crores
Builtup,2 BHK Apartment  In Vardhman Estate For Sale  In Lal Baug,2 BHK,2 BHK Apartment  In Vardhman Estate For Sale  In Lal Baug,1025 sqft,2,East,4 Crores
Builtup,3 BHK Flat  In Oriental Arcade  For Sale  In Chinchpokli,3 BHK,3 BHK Flat  In Oriental Arcade  For Sale  In Chinchpokli,1108 sqft,2,Don''t Know,3 Crores
Builtup,"1 BHK Flat  In Sukhakarta Chs  For Sale  In Lal Baug, Parel",1 BHK,"1 BHK Flat  In Sukhakarta Chs  For Sale  In Lal Baug, Parel",425 sqft,1,East,1.19 Crores
Builtup,1 BHK Flat  In Apartment For Sale  In Parel,1 BHK,1 BHK Flat  In Apartment For Sale  In Parel,400 sqft,1,Don''t Know,1.2 Crores
Builtup,2 BHK Apartment  In Vardhman Estate For Sale  In Lal Baug,2 BHK,2 BHK Apartment  In Vardhman Estate For Sale  In Lal Baug,1025 sqft,2,East,4 Crores
Builtup,2 BHK Flat  In Royal Residency For Sale  In Parel,2 BHK,2 BHK Flat  In Royal Residency For Sale  In Parel,1125 sqft,2,South,5.25 Crores
Builtup,1 BHK Apartment  In Poonam Park Chs For Sale  In Lal Baug,1 BHK,1 BHK Apartment  In Poonam Park Chs For Sale  In Lal Baug,600 sqft,2,North,2.4 Crores
Builtup,1 BHK Flat  In Westen Heights Society For Sale  In Parel,1 BHK,1 BHK Flat  In Westen Heights Society For Sale  In Parel,400 sqft,1,Don''t Know,75 Lacs
Builtup,2 BHK Flat  In Royal Residency  For Sale  In Lalbaug,2 BHK,2 BHK Flat  In Royal Residency  For Sale  In Lalbaug,1125 sqft,2,North,4.6 Crores
Builtup,3 BHK Flat  In Royal Residency For Sale  In Parel,3 BHK,3 BHK Flat  In Royal Residency For Sale  In Parel,1545 sqft,3,East,5.85 Crores
Builtup,1 BHK Flat  In Nitya Sukhdham Chs For Sale  In Parel,1 BHK,1 BHK Flat  In Nitya Sukhdham Chs For Sale  In Parel,590 sqft,2,East,1.99 Crores
Builtup,1 BHK Flat  In Lalbaug Cha Raja Co-operative Housing Society For Sale  In Parel,1 BHK,1 BHK Flat  In Lalbaug Cha Raja Co-operative Housing Society For Sale  In Parel,325 sqft,1,East,1.1 Crores
Builtup,3 BHK Apartment  In Lodha Venezia For Sale  In Parel,3 BHK,3 BHK Apartment  In Lodha Venezia For Sale  In Parel,1900 sqft,3,East,5.5 Crores
Builtup,"2 BHK Flat  In K Raj Residency For Sale  In Lal Baug, Parel",2 BHK,"2 BHK Flat  In K Raj Residency For Sale  In Lal Baug, Parel",895 sqft,2,North,2.9 Crores
Builtup,"2 BHK Apartment  In Goodtime Real Estate Development Salsette 27 For Sale  In Byculla East,",2 BHK,"2 BHK Apartment  In Goodtime Real Estate Development Salsette 27 For Sale  In Byculla East,",1300 sqft,2,West,4.5 Crores
Builtup,1 BHK Flat  In Sukhakarta Cooperative Housing Society Limited For Sale  In Lal Baug,1 BHK,1 BHK Flat  In Sukhakarta Cooperative Housing Society Limited For Sale  In Lal Baug,400 sqft,1,East,1.2 Crores
Builtup,3 BHK Apartment  In Gundecha Gardens For Sale  In Lal Baug,3 BHK,3 BHK Apartment  In Gundecha Gardens For Sale  In Lal Baug,1295 sqft,3,North,6.15 Crores
Builtup,1 BHK Apartment  In Veer Mahal Chs For Sale  In Parel,1 BHK,1 BHK Apartment  In Veer Mahal Chs For Sale  In Parel,439 sqft,1,West,1.3 Crores
Builtup,1 BHK Flat  In Sukhkartha Cooperative Housing Society For Sale  In Sukhakarta Cooperative Society Limited,1 BHK,1 BHK Flat  In Sukhkartha Cooperative Housing Society For Sale  In Sukhakarta Cooperative Society Limited,360 sqft,1,South-East,85 Lacs
Builtup,2 BHK Apartment  In Anupam Apartment Lalbaug For Sale  In Lalbaug,2 BHK,2 BHK Apartment  In Anupam Apartment Lalbaug For Sale  In Lalbaug,750 sqft,1,East,2.95 Crores
Builtup,1 BHK Flat  In Vignharta Chs For Sale  In Parel,1 BHK,1 BHK Flat  In Vignharta Chs For Sale  In Parel,550 sqft,1,Don''t Know,1.7 Crores
Builtup,2 BHK Apartment  In Kalpataru Habitat Mumbai For Sale  In Parel,2 BHK,2 BHK Apartment  In Kalpataru Habitat Mumbai For Sale  In Parel,1305 sqft,2,North-West,5.25 Crores
Builtup,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,1 BHK,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,500 sqft,1,Don''t Know,2 Crores
Builtup,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,1 BHK,1 BHK Flat  In Vikas Finlay Towers For Sale  In Parel,700 sqft,1,North-East,2 Crores
Builtup,1 BHK Flat  In Pearl Hieght For Sale  In  Parel,1 BHK,1 BHK Flat  In Pearl Hieght For Sale  In  Parel,381 sqft,2,North-West,1.2 Crores
Builtup,"1 BHK Flat  In Sukhakarta Chs  Parel. For Sale  In Gundecha Road, Parel",1 BHK,"1 BHK Flat  In Sukhakarta Chs  Parel. For Sale  In Gundecha Road, Parel",360 sqft,1,East,85 Lacs
Builtup,4 BHK Flat  In Kohinoor Altissimo For Sale  In Dadar West,4 BHK,4 BHK Flat  In Kohinoor Altissimo For Sale  In Dadar West,2714 sqft,4,East,10.16 Crores
Builtup,3 BHK Apartment  In Salvation Apartment For Sale  In Dadar West,3 BHK,3 BHK Apartment  In Salvation Apartment For Sale  In Dadar West,1121 sqft,2,West,4 Crores
Builtup,3 BHK Flat  In Rajgir Court For Sale  In Dadar East,3 BHK,3 BHK Flat  In Rajgir Court For Sale  In Dadar East,1225 sqft,3,North-East,5.8 Crores
Builtup,3 BHK Flat  In Suraj The Palette For Sale  In Dadar West,3 BHK,3 BHK Flat  In Suraj The Palette For Sale  In Dadar West,1580 sqft,3,North,7.07 Crores
Builtup,3 BHK Flat  In Kohinoor Altissimo For Sale  In Dadar West,3 BHK,3 BHK Flat  In Kohinoor Altissimo For Sale  In Dadar West,2200 sqft,3,East,8.75 Crores
Builtup,3 BHK Flat  In Spenta Passcode Legasea For Sale  In Matunga West,3 BHK,3 BHK Flat  In Spenta Passcode Legasea For Sale  In Matunga West,1630 sqft,3,East,5.64 Crores
Builtup,1 BHK Flat  In Emerald Residency For Sale  In Dadar West,1 BHK,1 BHK Flat  In Emerald Residency For Sale  In Dadar West,535 sqft,1,North-East,2.05 Crores
Builtup,1 BHK Flat  In Suraj Park View For Sale  In Dadar West,1 BHK,1 BHK Flat  In Suraj Park View For Sale  In Dadar West,529 sqft,1,East,2.05 Crores
Builtup,1 BHK Flat  In Sahajeevan Co-op Hsg Soc For Sale  In Dadar West,1 BHK,1 BHK Flat  In Sahajeevan Co-op Hsg Soc For Sale  In Dadar West,620 sqft,1,East,2.25 Crores
Builtup,2 BHK Apartment  In Sugee Trimurti For Sale  In Shivaji Park,2 BHK,2 BHK Apartment  In Sugee Trimurti For Sale  In Shivaji Park,1151 sqft,2,East,4.25 Crores
Builtup,"2 BHK Flat  In Om Siddhivinayak Chs For Sale  In Mahim West, Mahim",2 BHK,"2 BHK Flat  In Om Siddhivinayak Chs For Sale  In Mahim West, Mahim",900 sqft,2,West,3.3 Crores
Builtup,2 BHK Flat  In Vishal Chs  For Sale  In Dadar West,2 BHK,2 BHK Flat  In Vishal Chs  For Sale  In Dadar West,1218 sqft,2,East,2.75 Crores
Builtup,2 BHK Apartment  In Horizon Tower For Sale  In Dadar West,2 BHK,2 BHK Apartment  In Horizon Tower For Sale  In Dadar West,1200 sqft,2,South,4.49 Crores
Builtup,2 BHK Flat  In Suraj Park View For Sale  In Dadar West,2 BHK,2 BHK Flat  In Suraj Park View For Sale  In Dadar West,784 sqft,2,North,2.96 Crores
Builtup,2 BHK Flat  In Spenta Passcode Legasea For Sale  In Matunga West,2 BHK,2 BHK Flat  In Spenta Passcode Legasea For Sale  In Matunga West,1089 sqft,2,East,3.65 Crores
Builtup,4 BHK Flat  In Samruddhi Chs For Sale  In Dadar,4 BHK,4 BHK Flat  In Samruddhi Chs For Sale  In Dadar,2250 sqft,4,West,8 Crores
Builtup,4 BHK Flat  In Rahul Apartmwnt For Sale  In Dadar,4 BHK,4 BHK Flat  In Rahul Apartmwnt For Sale  In Dadar,1750 sqft,3,Don''t Know,4.6 Crores
Builtup,4 BHK Flat  In Gurukrupa Building For Sale  In Dadar East,4 BHK,4 BHK Flat  In Gurukrupa Building For Sale  In Dadar East,1500 sqft,4,Don''t Know,6 Crores
Builtup,3 BHK Flat  In Silver Cascade For Sale  In Dadar West - Kasaravadi,3 BHK,3 BHK Flat  In Silver Cascade For Sale  In Dadar West - Kasaravadi,1391 sqft,3,East,4.1 Crores
Builtup,3 BHK Flat  In Ramswaroop Palai Tower For Sale  In Dadar,3 BHK,3 BHK Flat  In Ramswaroop Palai Tower For Sale  In Dadar,2000 sqft,3,West,7 Crores
Builtup,3 BHK Apartment  In Omkar Bellezza For Sale  In Dadar West,3 BHK,3 BHK Apartment  In Omkar Bellezza For Sale  In Dadar West,2150 sqft,4,East,6.5 Crores
Builtup,3 BHK Flat  In Gurudeo Housing Society For Sale  In Dadar West,3 BHK,3 BHK Flat  In Gurudeo Housing Society For Sale  In Dadar West,1200 sqft,2,North,3.5 Crores
Builtup,3 BHK Flat  In Sonas Tower For Sale  In Parel,3 BHK,3 BHK Flat  In Sonas Tower For Sale  In Parel,1100 sqft,2,West,4.5 Crores
Builtup,3 BHK Flat  In Luis Apartment For Sale  In Dadar West,3 BHK,3 BHK Flat  In Luis Apartment For Sale  In Dadar West,1576 sqft,3,Don''t Know,7 Crores
Builtup,3 BHK Flat  In Woodside Apartment By Omkar For Sale  In Dadar West,3 BHK,3 BHK Flat  In Woodside Apartment By Omkar For Sale  In Dadar West,1701 sqft,3,South-East,5.8 Crores
Builtup,3 BHK Flat  In Inez Tower For Sale  In Inez Tower,3 BHK,3 BHK Flat  In Inez Tower For Sale  In Inez Tower,1437 sqft,3,Don''t Know,4.6 Crores
Builtup,3 BHK Flat  In The Solitaire For Sale  In Mahim,3 BHK,3 BHK Flat  In The Solitaire For Sale  In Mahim,1368 sqft,3,West,4.5 Crores
Builtup,3 BHK Flat  In Prescon Midtown Bay For Sale  In Mahim West,3 BHK,3 BHK Flat  In Prescon Midtown Bay For Sale  In Mahim West,1628 sqft,3,North-East,5.68 Crores
Builtup,1 BHK Apartment  In Mohini Mansion For Sale  In Mahim,1 BHK,1 BHK Apartment  In Mohini Mansion For Sale  In Mahim,650 sqft,1,Don''t Know,1.62 Crores
Builtup,1 BHK Flat  In Suraj Eterna For Sale  In Mahim West,1 BHK,1 BHK Flat  In Suraj Eterna For Sale  In Mahim West,500 sqft,1,East,1.85 Crores
Builtup,1 BHK Flat  In Suraj Vitalis For Sale  In Mahim West,1 BHK,1 BHK Flat  In Suraj Vitalis For Sale  In Mahim West,631 sqft,1,East,2.28 Crores
Builtup,2 BHK Flat  In S Keer Complex For Sale  In Matunga West,2 BHK,2 BHK Flat  In S Keer Complex For Sale  In Matunga West,1000 sqft,2,East,2.55 Crores
Builtup,"2 BHK Flat  In Muna Villa   For Sale  In Mahim West, Mahim",2 BHK,"2 BHK Flat  In Muna Villa   For Sale  In Mahim West, Mahim",800 sqft,2,West,2.85 Crores
Builtup,"2 BHK Flat  In Geeta Nivas For Sale  In Mahim West, Mahim",2 BHK,"2 BHK Flat  In Geeta Nivas For Sale  In Mahim West, Mahim",800 sqft,2,North-West,2 Crores
Builtup,2 BHK Flat  In Prem Milan Building For Sale  In Mahim,2 BHK,2 BHK Flat  In Prem Milan Building For Sale  In Mahim,805 sqft,2,East,3.4 Crores
Builtup,"2 BHK Flat  In Shreeji Villa,  For Sale  In Matunga West",2 BHK,"2 BHK Flat  In Shreeji Villa,  For Sale  In Matunga West",884 sqft,2,West,3 Crores
Builtup,2 BHK Flat  In Suraj Eterna For Sale  In Mahim,2 BHK,2 BHK Flat  In Suraj Eterna For Sale  In Mahim,904 sqft,2,East,3.16 Crores
Builtup,2 BHK Flat  In Suraj Vitalis For Sale  In Mahim West ,2 BHK,2 BHK Flat  In Suraj Vitalis For Sale  In Mahim West ,931 sqft,2,East,3.25 Crores
Builtup,2 BHK Flat  In Ruparel Iris For Sale  In Matunga East,2 BHK,2 BHK Flat  In Ruparel Iris For Sale  In Matunga East,1186 sqft,2,North-East,3.99 Crores
Builtup,4 BHK Flat  In Unique Heights For Sale  In Mahim,4 BHK,4 BHK Flat  In Unique Heights For Sale  In Mahim,2000 sqft,3,North,6.5 Crores
Builtup,"3 BHK Apartment  In Samrat Apartment Mahim, Mahim For Sale  In Mahim",3 BHK,"3 BHK Apartment  In Samrat Apartment Mahim, Mahim For Sale  In Mahim",1250 sqft,3,East,4.2 Crores
Builtup,3 BHK Flat  In Shanta Durga For Sale  In Matunga West,3 BHK,3 BHK Flat  In Shanta Durga For Sale  In Matunga West,1700 sqft,3,West,5.3 Crores
Builtup,3 BHK Flat  In La Rose Chs For Sale  In Mahim,3 BHK,3 BHK Flat  In La Rose Chs For Sale  In Mahim,1750 sqft,3,North,5.5 Crores
Builtup,3 BHK Flat  In Montclair  For Sale  In Mahim,3 BHK,3 BHK Flat  In Montclair  For Sale  In Mahim,1310 sqft,3,West,3.6 Crores
Builtup,3 BHK Apartment  In Matoshree Pearl For Sale  In Mahim,3 BHK,3 BHK Apartment  In Matoshree Pearl For Sale  In Mahim,1340 sqft,3,West,5.6 Crores
Builtup,3 BHK Flat  In Shri Rajendra Srushti For Sale  In Palghar,3 BHK,3 BHK Flat  In Shri Rajendra Srushti For Sale  In Palghar,930 sqft,3,West,34 Lacs
Builtup,3 BHK Flat  In The Solitaire For Sale  In Mahim,3 BHK,3 BHK Flat  In The Solitaire For Sale  In Mahim,1358 sqft,3,Don''t Know,5.5 Crores
Builtup,3 BHK Apartment  In Matoshree Pearl For Sale  In Mahim,3 BHK,3 BHK Apartment  In Matoshree Pearl For Sale  In Mahim,1350 sqft,3,West,6.25 Crores
Builtup,3 BHK Flat  In Garden Colony For Sale  In Mahim West,3 BHK,3 BHK Flat  In Garden Colony For Sale  In Mahim West,1400 sqft,3,East,5 Crores
Builtup,3 BHK Flat  In Geetha Niwas For Sale  In Mahim,3 BHK,3 BHK Flat  In Geetha Niwas For Sale  In Mahim,1312 sqft,3,East,4.25 Crores
Builtup,4 BHK Flat  In Rustomjee Crown For Sale  In Prabhadevi,4 BHK,4 BHK Flat  In Rustomjee Crown For Sale  In Prabhadevi,2429 sqft,4,East,14.38 Crores
Builtup,3 BHK Flat  In Ameyanand Chs For Sale  In Prabhadevi,3 BHK,3 BHK Flat  In Ameyanand Chs For Sale  In Prabhadevi,1250 sqft,2,West,4.25 Crores
Builtup,3 BHK Flat  In Rustomjee Crown For Sale  In Prabhadevi,3 BHK,3 BHK Flat  In Rustomjee Crown For Sale  In Prabhadevi,1907 sqft,3,East,9.53 Crores
Builtup,2 BHK Flat  In Silver Dunes For Sale  In Silver Dunes,2 BHK,2 BHK Flat  In Silver Dunes For Sale  In Silver Dunes,700 sqft,1,West,2.25 Crores
Builtup,2 BHK Flat  In Sai Rachnana Chs For Sale  In Prabhadevi,2 BHK,2 BHK Flat  In Sai Rachnana Chs For Sale  In Prabhadevi,715 sqft,2,North-East,2.3 Crores
Builtup,4 BHK Apartment  In Suvidha Emerald For Sale  In Prabhadevi,4 BHK,4 BHK Apartment  In Suvidha Emerald For Sale  In Prabhadevi,2300 sqft,4,East,9.5 Crores
Builtup,4 BHK Apartment  In Shaan Apartments Prabhadevi For Sale  In Prabhadevi,4 BHK,4 BHK Apartment  In Shaan Apartments Prabhadevi For Sale  In Prabhadevi,4000 sqft,5,Don''t Know,11 Crores
Builtup,"4 BHK Apartment  In Rustomjee Crown, Prabhadevi For Sale  In Prabhadevi",4 BHK,"4 BHK Apartment  In Rustomjee Crown, Prabhadevi For Sale  In Prabhadevi",2300 sqft,4,East,10 Crores
Builtup,4 BHK Flat  In Woodside Apartment By Omkar For Sale  In Prabhadevi,4 BHK,4 BHK Flat  In Woodside Apartment By Omkar For Sale  In Prabhadevi,1800 sqft,3,East,6.25 Crores
Builtup,4 BHK Apartment  In Siddhivinayak Horizon For Sale  In Prabhadevi,4 BHK,4 BHK Apartment  In Siddhivinayak Horizon For Sale  In Prabhadevi,6000 sqft,6,East,27 Crores
Builtup,3 BHK Apartment  In Atlanta Heights For Sale  In Prabhadevi,3 BHK,3 BHK Apartment  In Atlanta Heights For Sale  In Prabhadevi,1210 sqft,3,West,4.8 Crores
Builtup,3 BHK Flat  In Mamta Apartment For Sale  In Prabhadevi,3 BHK,3 BHK Flat  In Mamta Apartment For Sale  In Prabhadevi,1800 sqft,3,South-East,5.5 Crores
Builtup,3 BHK Flat  In Avarsekar Srushti Building For Sale  In Prabhadevi,3 BHK,3 BHK Flat  In Avarsekar Srushti Building For Sale  In Prabhadevi,1550 sqft,3,North,5.25 Crores
Builtup,3 BHK Flat  In Lodha Grandeur For Sale  In Prabhadevi,3 BHK,3 BHK Flat  In Lodha Grandeur For Sale  In Prabhadevi,1500 sqft,3,East,4.5 Crores
Builtup,3 BHK Flat  In Ratan Address For Sale  In Prabhadevi,3 BHK,3 BHK Flat  In Ratan Address For Sale  In Prabhadevi,1357 sqft,3,North,4.98 Crores
Builtup,3 BHK Apartment  In Cosmos Majestic For Sale  In Prabhadevi,3 BHK,3 BHK Apartment  In Cosmos Majestic For Sale  In Prabhadevi,1650 sqft,3,South-West,5.5 Crores
Builtup,3 BHK Flat  In Suraj Ocean Star For Sale  In Prabhadevi,3 BHK,3 BHK Flat  In Suraj Ocean Star For Sale  In Prabhadevi,1870 sqft,2,East,10.64 Crores
Builtup,3 BHK Flat  In Ameyanand Chs For Sale  In Prabhadevi,3 BHK,3 BHK Flat  In Ameyanand Chs For Sale  In Prabhadevi,1200 sqft,2,Don''t Know,4.5 Crores
Builtup,3 BHK Flat  In Ivory Tower Prabhadevi For Sale  In Prabhadevi,3 BHK,3 BHK Flat  In Ivory Tower Prabhadevi For Sale  In Prabhadevi,1800 sqft,3,East,5 Crores
Builtup,3 BHK Apartment  In Ajmera Classique For Sale  In Prabhadevi,3 BHK,3 BHK Apartment  In Ajmera Classique For Sale  In Prabhadevi,2000 sqft,4,Don''t Know,6 Crores
Builtup,3 BHK Apartment  In Kalpataru Antariksha For Sale  In Prabhadevi,3 BHK,3 BHK Apartment  In Kalpataru Antariksha For Sale  In Prabhadevi,1210 sqft,3,South,6.1 Crores
Builtup,3 BHK Flat  In Sidhivinayak Horizon Building For Sale  In Prabhadevi,3 BHK,3 BHK Flat  In Sidhivinayak Horizon Building For Sale  In Prabhadevi,1100 sqft,2,East,3.6 Crores
Builtup,3 BHK Apartment  In Siddhivinayak Horizon For Sale  In Prabhadevi,3 BHK,3 BHK Apartment  In Siddhivinayak Horizon For Sale  In Prabhadevi,1250 sqft,2,West,6.21 Crores
Builtup,3 BHK Flat  In Lodha Grandeur For Sale  In Prabhadevi,3 BHK,3 BHK Flat  In Lodha Grandeur For Sale  In Prabhadevi,1035 sqft,3,East,5 Crores
Builtup,3 BHK Apartment  In Lodha Grandeur  For Sale  In Prabhadevi,3 BHK,3 BHK Apartment  In Lodha Grandeur  For Sale  In Prabhadevi,2025 sqft,3,West,6.25 Crores
